ForceDecks Raw Data Export,1.0
Weight,53.84
Frequency,500
Recording Date,2024-03-18T16:36:40
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 2)"
Analysis Date,2024-03-18T16:37:05
AthleteId,76ea55ee-bf21-4e4a-aacb-c4f8484e7d7c

Time,Left,Right
35.998,292.746753,240.331169
36,291.746753,240.331169
36.002,291.746753,241.331169
36.004,291.746753,238.331169
36.006,289.746753,239.331169
36.008,291.746753,240.331169
36.01,292.746753,242.331169
36.012,290.746753,238.331169
36.014,290.746753,241.331169
36.016,288.746753,239.331169
36.018,288.746753,239.331169
36.02,289.746753,238.331169
36.022,288.746753,239.331169
36.024,289.746753,240.331169
36.026,288.746753,240.331169
36.028,288.746753,240.331169
36.03,290.746753,240.331169
36.032,289.746753,238.331169
36.034,288.746753,242.331169
36.036,287.746753,240.331169
36.038,289.746753,238.331169
36.04,290.746753,239.331169
36.042,290.746753,239.331169
36.044,291.746753,238.331169
36.046,290.746753,238.331169
36.048,289.746753,238.331169
36.05,291.746753,239.331169
36.052,291.746753,239.331169
36.054,290.746753,239.331169
36.056,289.746753,241.331169
36.058,290.746753,237.331169
36.06,289.746753,239.331169
36.062,290.746753,238.331169
36.064,291.746753,239.331169
36.066,290.746753,239.331169
36.068,291.746753,238.331169
36.07,291.746753,241.331169
36.072,289.746753,240.331169
36.074,290.746753,239.331169
36.076,291.746753,239.331169
36.078,290.746753,240.331169
36.08,292.746753,239.331169
36.082,290.746753,238.331169
36.084,289.746753,239.331169
36.086,291.746753,238.331169
36.088,288.746753,239.331169
36.09,291.746753,239.331169
36.092,291.746753,238.331169
36.094,291.746753,239.331169
36.096,290.746753,240.331169
36.098,289.746753,241.331169
36.1,291.746753,240.331169
36.102,289.746753,239.331169
36.104,288.746753,240.331169
36.106,289.746753,239.331169
36.108,289.746753,240.331169
36.11,289.746753,238.331169
36.112,292.746753,238.331169
36.114,291.746753,238.331169
36.116,290.746753,241.331169
36.118,288.746753,240.331169
36.12,291.746753,241.331169
36.122,292.746753,241.331169
36.124,290.746753,240.331169
36.126,291.746753,238.331169
36.128,291.746753,242.331169
36.13,290.746753,241.331169
36.132,291.746753,240.331169
36.134,289.746753,241.331169
36.136,289.746753,239.331169
36.138,291.746753,243.331169
36.14,290.746753,240.331169
36.142,289.746753,239.331169
36.144,290.746753,239.331169
36.146,288.746753,241.331169
36.148,289.746753,241.331169
36.15,291.746753,244.331169
36.152,287.746753,244.331169
36.154,290.746753,243.331169
36.156,287.746753,243.331169
36.158,287.746753,243.331169
36.16,287.746753,242.331169
36.162,289.746753,244.331169
36.164,290.746753,244.331169
36.166,289.746753,243.331169
36.168,289.746753,241.331169
36.17,290.746753,245.331169
36.172,289.746753,243.331169
36.174,288.746753,244.331169
36.176,289.746753,242.331169
36.178,288.746753,245.331169
36.18,289.746753,244.331169
36.182,286.746753,244.331169
36.184,289.746753,242.331169
36.186,288.746753,244.331169
36.188,287.746753,241.331169
36.19,288.746753,242.331169
36.192,286.746753,244.331169
36.194,287.746753,244.331169
36.196,286.746753,240.331169
36.198,288.746753,241.331169
36.2,284.746753,242.331169
36.202,286.746753,244.331169
36.204,286.746753,244.331169
36.206,286.746753,242.331169
36.208,284.746753,243.331169
36.21,286.746753,242.331169
36.212,287.746753,242.331169
36.214,285.746753,244.331169
36.216,285.746753,242.331169
36.218,283.746753,243.331169
36.22,284.746753,242.331169
36.222,282.746753,245.331169
36.224,283.746753,242.331169
36.226,283.746753,245.331169
36.228,284.746753,244.331169
36.23,285.746753,245.331169
36.232,283.746753,244.331169
36.234,283.746753,245.331169
36.236,283.746753,244.331169
36.238,282.746753,246.331169
36.24,282.746753,244.331169
36.242,281.746753,245.331169
36.244,284.746753,245.331169
36.246,283.746753,244.331169
36.248,283.746753,245.331169
36.25,284.746753,246.331169
36.252,281.746753,244.331169
36.254,281.746753,244.331169
36.256,283.746753,244.331169
36.258,281.746753,244.331169
36.26,281.746753,243.331169
36.262,282.746753,242.331169
36.264,280.746753,244.331169
36.266,283.746753,243.331169
36.268,282.746753,245.331169
36.27,280.746753,244.331169
36.272,282.746753,242.331169
36.274,282.746753,245.331169
36.276,283.746753,246.331169
36.278,280.746753,244.331169
36.28,281.746753,242.331169
36.282,282.746753,242.331169
36.284,281.746753,245.331169
36.286,282.746753,245.331169
36.288,281.746753,243.331169
36.29,280.746753,244.331169
36.292,280.746753,245.331169
36.294,280.746753,244.331169
36.296,280.746753,244.331169
36.298,282.746753,244.331169
36.3,280.746753,247.331169
36.302,281.746753,246.331169
36.304,283.746753,246.331169
36.306,281.746753,249.331169
36.308,283.746753,247.331169
36.31,283.746753,247.331169
36.312,283.746753,248.331169
36.314,282.746753,248.331169
36.316,283.746753,249.331169
36.318,283.746753,251.331169
36.32,283.746753,250.331169
36.322,286.746753,249.331169
36.324,286.746753,252.331169
36.326,285.746753,250.331169
36.328,286.746753,250.331169
36.33,284.746753,250.331169
36.332,286.746753,250.331169
36.334,284.746753,252.331169
36.336,286.746753,253.331169
36.338,284.746753,254.331169
36.34,285.746753,249.331169
36.342,288.746753,251.331169
36.344,285.746753,250.331169
36.346,285.746753,250.331169
36.348,284.746753,253.331169
36.35,283.746753,251.331169
36.352,284.746753,252.331169
36.354,282.746753,252.331169
36.356,285.746753,252.331169
36.358,284.746753,250.331169
36.36,285.746753,252.331169
36.362,285.746753,253.331169
36.364,283.746753,252.331169
36.366,285.746753,252.331169
36.368,283.746753,252.331169
36.37,285.746753,251.331169
36.372,284.746753,250.331169
36.374,284.746753,253.331169
36.376,282.746753,250.331169
36.378,284.746753,252.331169
36.38,284.746753,252.331169
