ForceDecks Raw Data Export,1.0
Weight,84.54
Frequency,500
Recording Date,2024-03-11T15:40:01
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 4)"
Analysis Date,2024-03-11T15:40:27
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right
60.468,-1.682587,0.842786
60.47,1.317413,0.842786
60.472,-2.682587,0.842786
60.474,-0.682587,1.842786
60.476,0.317413,1.842786
60.478,-0.682587,0.842786
60.48,0.317413,2.842786
60.482,-1.682587,-0.157214
60.484,2.317413,2.842786
60.486,-0.682587,1.842786
60.488,-1.682587,2.842786
60.49,2.317413,0.842786
60.492,-1.682587,0.842786
60.494,0.317413,0.842786
60.496,0.317413,0.842786
60.498,-1.682587,0.842786
60.5,-0.682587,0.842786
60.502,1.317413,2.842786
60.504,-0.682587,1.842786
60.506,-0.682587,1.842786
60.508,1.317413,0.842786
60.51,-3.682587,0.842786
60.512,0.317413,0.842786
60.514,1.317413,0.842786
60.516,1.317413,0.842786
60.518,-0.682587,1.842786
60.52,-0.682587,2.842786
60.522,0.317413,3.842786
60.524,0.317413,0.842786
60.526,-0.682587,1.842786
60.528,-0.682587,1.842786
60.53,0.317413,0.842786
60.532,0.317413,0.842786
60.534,-0.682587,-0.157214
60.536,-1.682587,0.842786
60.538,0.317413,0.842786
60.54,-0.682587,1.842786
60.542,-0.682587,1.842786
60.544,2.317413,1.842786
60.546,-0.682587,0.842786
60.548,1.317413,1.842786
60.55,-0.682587,-0.157214
60.552,1.317413,0.842786
60.554,1.317413,1.842786
60.556,-1.682587,1.842786
60.558,0.317413,0.842786
60.56,-1.682587,2.842786
60.562,2.317413,2.842786
60.564,0.317413,2.842786
60.566,0.317413,0.842786
60.568,1.317413,0.842786
60.57,-1.682587,-0.157214
60.572,0.317413,-0.157214
60.574,-0.682587,-0.157214
60.576,0.317413,0.842786
60.578,1.317413,2.842786
60.58,-0.682587,-0.157214
60.582,0.317413,0.842786
60.584,-1.682587,0.842786
60.586,-1.682587,-1.157214
60.588,0.317413,1.842786
60.59,2.317413,2.842786
