ForceDecks Raw Data Export,1.0
Weight,83.54
Frequency,500
Recording Date,2024-03-05T15:53:41
Recording Info,ForceDecks.iOS;1.9.0
Data Source,"ForceDecks;FDL2-220804-FW2R6-HW3R5,6263,FDL2-FW2R6-HW3R5,6264 (Post-analysis Trial 3)"
Analysis Date,2024-03-05T15:53:57
AthleteId,41e5656a-cbbc-402c-9ba6-cee5e1b11b36

Time,Left,Right,,Acceleration,Velocity,Height,Power,Impulse
32.44,408.831169,419.491651,,0,0,0,0,0
32.442,410.831169,420.491651,,0,0,0,0,0
32.444,409.831169,418.491651,,0,0,0,0,0
32.446,409.831169,421.491651,,0,0,0,0,0
32.448,409.831169,420.491651,,0,0,0,0,0
32.45,410.831169,420.491651,,0,0,0,0,0
32.452,411.831169,418.491651,,0,0,0,0,0
32.454,410.831169,421.491651,,0,0,0,0,0
32.456,411.831169,419.491651,,0,0,0,0,0
32.458,412.831169,420.491651,,0,0,0,0,0
32.46,411.831169,418.491651,,0,0,0,0,0
32.462,411.831169,418.491651,,0,0,0,0,0
32.464,412.831169,416.491651,,0,0,0,0,0
32.466,411.831169,414.491651,,0,0,0,0,0
32.468,411.831169,415.491651,,0,0,0,0,0
32.47,410.831169,415.491651,,0,0,0,0,0
32.472,411.831169,414.491651,,0,0,0,0,0
32.474,410.831169,415.491651,,0,0,0,0,0
32.476,410.831169,414.491651,,0,0,0,0,0
32.478,408.831169,412.491651,,0,0,0,0,0
32.48,410.831169,415.491651,,0,0,0,0,0
32.482,409.831169,411.491651,,0,0,0,0,0
32.484,411.831169,410.491651,,0,0,0,0,0
32.486,409.831169,411.491651,,0,0,0,0,0
32.488,409.831169,410.491651,,0,0,0,0,0
32.49,408.831169,410.491651,,0,0,0,0,0
32.492,409.831169,409.491651,,0,0,0,0,0
32.494,408.831169,409.491651,,0,0,0,0,0
32.496,407.831169,409.491651,,0,0,0,0,0
32.498,408.831169,409.491651,,0,0,0,0,0
32.5,408.831169,408.491651,,0,0,0,0,0
32.502,408.831169,406.491651,,0,0,0,0,0
32.504,408.831169,409.491651,,0,0,0,0,0
32.506,408.831169,410.491651,,0,0,0,0,0
32.508,408.831169,410.491651,,0,0,0,0,0
32.51,408.831169,409.491651,,0,0,0,0,0
32.512,408.831169,407.491651,,0,0,0,0,0
32.514,408.831169,408.491651,,0,0,0,0,0
32.516,410.831169,408.491651,,0,0,0,0,0
32.518,410.831169,406.491651,,0,0,0,0,0
32.52,411.831169,407.491651,,0,0,0,0,0
32.522,411.831169,408.491651,,0,0,0,0,0
32.524,410.831169,407.491651,,0,0,0,0,0
32.526,410.831169,409.491651,,0,0,0,0,0
32.528,412.831169,409.491651,,0,0,0,0,0
32.53,411.831169,407.491651,,0,0,0,0,0
32.532,413.831169,408.491651,,0,0,0,0,0
32.534,412.831169,409.491651,,0,0,0,0,0
32.536,412.831169,408.491651,,0,0,0,0,0
32.538,413.831169,406.491651,,0,0,0,0,0
32.54,412.831169,409.491651,,0,0,0,0,0
32.542,414.831169,410.491651,,0,0,0,0,0
32.544,413.831169,412.491651,,0,0,0,0,0
32.546,413.831169,409.491651,,0,0,0,0,0
32.548,414.831169,411.491651,,0,0,0,0,0
32.55,412.831169,409.491651,,0,0,0,0,0
32.552,411.831169,410.491651,,0,0,0,0,0
32.554,413.831169,406.491651,,0,0,0,0,0
32.556,413.831169,407.491651,,0,0,0,0,0
32.558,412.831169,410.491651,,0,0,0,0,0
32.56,411.831169,410.491651,,0,0,0,0,0
32.562,410.831169,407.491651,,0,0,0,0,0
32.564,409.831169,406.491651,,0,0,0,0,0
32.566,411.831169,406.491651,,0,0,0,0,0
32.568,408.831169,405.491651,,0,0,0,0,0
32.57,410.831169,406.491651,,0,0,0,0,0
32.572,409.831169,407.491651,,0,0,0,0,0
32.574,408.831169,405.491651,,0,0,0,0,0
32.576,410.831169,406.491651,,0,0,0,0,0
32.578,408.831169,406.491651,,0,0,0,0,0
32.58,409.831169,405.491651,,0,0,0,0,0
32.582,410.831169,406.491651,,0,0,0,0,0
32.584,409.831169,403.491651,,0,0,0,0,0
32.586,409.831169,402.491651,,0,0,0,0,0
32.588,409.831169,403.491651,,0,0,0,0,0
32.59,408.831169,401.491651,,0,0,0,0,0
32.592,408.831169,405.491651,,0,0,0,0,0
32.594,408.831169,401.491651,,0,0,0,0,0
32.596,410.831169,403.491651,,0,0,0,0,0
32.598,409.831169,404.491651,,0,0,0,0,0
32.6,410.831169,402.491651,,0,0,0,0,0
32.602,410.831169,404.491651,,0,0,0,0,0
32.604,409.831169,404.491651,,0,0,0,0,0
32.606,409.831169,406.491651,,0,0,0,0,0
32.608,407.831169,404.491651,,0,0,0,0,0
32.61,410.831169,404.491651,,0,0,0,0,0
32.612,408.831169,403.491651,,0,0,0,0,0
32.614,408.831169,405.491651,,0,0,0,0,0
32.616,409.831169,405.491651,,0,0,0,0,0
32.618,409.831169,405.491651,,0,0,0,0,0
32.62,409.831169,405.491651,,0,0,0,0,0
32.622,407.831169,407.491651,,0,0,0,0,0
32.624,409.831169,407.491651,,0,0,0,0,0
32.626,408.831169,410.491651,,0,0,0,0,0
